Model,Dataset,UseWindowScalar,Epoch,TimeStepNum,LookAheadNum,NetworkType,Features,BatchSize,RMSE,MAPE,R2,TrainingLoss,ValidationLoss
SavedModels/2,Datasets/BTC-2021-minute.csv,False,50,150,30,GRU,Close-,5000,161.55,0.25,0.999,0.0003203117230441421,3.08913949993439e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,1,150,30,LSTM,Close-,5000,412.21,0.82,0.991,0.03946889936923981,0.0004023598157800734
SavedModels/3,Datasets/BTC-2021-minute.csv,False,2,150,30,LSTM,Close-,5000,318.96,0.63,0.995,0.006469094660133123,0.0002622692845761776
SavedModels/3,Datasets/BTC-2021-minute.csv,False,3,150,30,LSTM,Close-,5000,285.95,0.54,0.996,0.0043283309787511826,0.00025831989478319883
SavedModels/3,Datasets/BTC-2021-minute.csv,False,4,150,30,LSTM,Close-,5000,257.1,0.47,0.997,0.003394370200112462,0.00020506604050751776
SavedModels/3,Datasets/BTC-2021-minute.csv,False,5,150,30,LSTM,Close-,5000,251.15,0.45,0.997,0.002846230287104845,0.00019719077681656927
SavedModels/3,Datasets/BTC-2021-minute.csv,False,6,150,30,LSTM,Close-,5000,206.7,0.35,0.998,0.0024754467885941267,0.00010137012577615678
SavedModels/3,Datasets/BTC-2021-minute.csv,False,7,150,30,LSTM,Close-,5000,202.67,0.34,0.998,0.0021827949676662683,9.278986544813961e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,8,150,30,LSTM,Close-,5000,193.33,0.32,0.998,0.001955991378054023,7.377264410024509e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,9,150,30,LSTM,Close-,5000,200.87,0.33,0.998,0.0017651274101808667,9.144612704403698e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,10,150,30,LSTM,Close-,5000,186.58,0.3,0.998,0.001622726209461689,6.279052468016744e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,11,150,30,LSTM,Close-,5000,175.16,0.27,0.998,0.0014893719926476479,4.085883483639918e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,12,150,30,LSTM,Close-,5000,194.62,0.32,0.998,0.001382820075377822,7.958291098475456e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,13,150,30,LSTM,Close-,5000,179.79,0.29,0.998,0.0012898501008749008,4.947645720676519e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,14,150,30,LSTM,Close-,5000,225.11,0.39,0.997,0.0012115283170714974,0.000144314079079777
SavedModels/3,Datasets/BTC-2021-minute.csv,False,15,150,30,LSTM,Close-,5000,183.29,0.29,0.998,0.001137412735261023,5.744137888541445e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,16,150,30,LSTM,Close-,5000,177.81,0.28,0.998,0.0010707859182730317,4.6587669203290716e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,17,150,30,LSTM,Close-,5000,187.52,0.3,0.998,0.0010147772263735533,6.571488484041765e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,18,150,30,LSTM,Close-,5000,173.39,0.27,0.999,0.0009630843997001648,3.912658939952962e-05
SavedModels/3,Datasets/BTC-2021-minute.csv,False,19,150,30,LSTM,Close-,5000,172.7,0.27,0.999,0.0009116091532632709,3.784307045862079e-05
